month_name,day_name,patients
January,Monday,20
January,Monday,10
January,Monday,20
January,Monday,20
January,Tuesday,6
January,Tuesday,10
January,Tuesday,10
January,Tuesday,10
January,Wednesday,8
January,Wednesday,15
January,Wednesday,15
January,Wednesday,15
January,Thursday,5
January,Thursday,12
January,Thursday,12
January,Thursday,12
January,Friday,3
January,Friday,12
January,Friday,12
January,Friday,12
January,Saturday,3
January,Saturday,5
January,Saturday,5
January,Saturday,5
January,Sunday,0
January,Sunday,0
January,Sunday,0
January,Sunday,0
February,Monday,20
February,Monday,10
February,Monday,20
February,Monday,20
February,Tuesday,6
February,Tuesday,10
February,Tuesday,10
February,Tuesday,10
February,Wednesday,8
February,Wednesday,15
February,Wednesday,15
February,Wednesday,15
February,Thursday,5
February,Thursday,12
February,Thursday,12
February,Thursday,12
February,Friday,3
February,Friday,12
February,Friday,12
February,Friday,12
February,Saturday,3
February,Saturday,5
February,Saturday,5
February,Saturday,5
February,Sunday,0
February,Sunday,0
February,Sunday,0
February,Sunday,0
March,Monday,20
March,Monday,10
March,Monday,20
March,Monday,20
March,Tuesday,6
March,Tuesday,10
March,Tuesday,10
March,Tuesday,10
March,Wednesday,8
March,Wednesday,15
March,Wednesday,15
March,Wednesday,15
March,Thursday,5
March,Thursday,12
March,Thursday,12
March,Thursday,12
March,Friday,3
March,Friday,12
March,Friday,12
March,Friday,12
March,Saturday,3
March,Saturday,5
March,Saturday,5
March,Saturday,5
March,Sunday,0
March,Sunday,0
March,Sunday,0
March,Sunday,0
April,Monday,12
April,Monday,12
April,Monday,8
April,Monday,12
April,Tuesday,4
April,Tuesday,5
April,Tuesday,9
April,Tuesday,9
April,Wednesday,5
April,Wednesday,5
April,Wednesday,12
April,Wednesday,12
April,Thursday,2
April,Thursday,2
April,Thursday,16
April,Thursday,16
April,Friday,3
April,Friday,3
April,Friday,6
April,Friday,6
April,Saturday,3
April,Saturday,3
April,Saturday,5
April,Saturday,5
April,Sunday,0
April,Sunday,0
April,Sunday,0
April,Sunday,0
May,Monday,12
May,Monday,12
May,Monday,8
May,Monday,12
May,Tuesday,4
May,Tuesday,5
May,Tuesday,9
May,Tuesday,9
May,Wednesday,5
May,Wednesday,5
May,Wednesday,12
May,Wednesday,12
May,Thursday,2
May,Thursday,2
May,Thursday,16
May,Thursday,16
May,Friday,3
May,Friday,3
May,Friday,6
May,Friday,6
May,Saturday,3
May,Saturday,3
May,Saturday,5
May,Saturday,5
May,Sunday,0
May,Sunday,0
May,Sunday,0
May,Sunday,0
June,Monday,12
June,Monday,12
June,Monday,8
June,Monday,12
June,Tuesday,4
June,Tuesday,5
June,Tuesday,9
June,Tuesday,9
June,Wednesday,5
June,Wednesday,5
June,Wednesday,12
June,Wednesday,12
June,Thursday,2
June,Thursday,2
June,Thursday,16
June,Thursday,16
June,Friday,3
June,Friday,3
June,Friday,6
June,Friday,6
June,Saturday,3
June,Saturday,3
June,Saturday,5
June,Saturday,5
June,Sunday,0
June,Sunday,0
June,Sunday,0
June,Sunday,0
July,Monday,12
July,Monday,12
July,Monday,8
July,Monday,12
July,Tuesday,4
July,Tuesday,5
July,Tuesday,9
July,Tuesday,9
July,Wednesday,5
July,Wednesday,5
July,Wednesday,12
July,Wednesday,12
July,Thursday,2
July,Thursday,2
July,Thursday,16
July,Thursday,16
July,Friday,3
July,Friday,3
July,Friday,6
July,Friday,6
July,Saturday,3
July,Saturday,3
July,Saturday,5
July,Saturday,5
July,Sunday,0
July,Sunday,0
July,Sunday,0
July,Sunday,0
August,Monday,12
August,Monday,12
August,Monday,8
August,Monday,12
August,Tuesday,4
August,Tuesday,5
August,Tuesday,9
August,Tuesday,9
August,Wednesday,5
August,Wednesday,5
August,Wednesday,12
August,Wednesday,12
August,Thursday,2
August,Thursday,2
August,Thursday,16
August,Thursday,16
August,Friday,3
August,Friday,3
August,Friday,6
August,Friday,6
August,Saturday,3
August,Saturday,3
August,Saturday,5
August,Saturday,5
August,Sunday,0
August,Sunday,0
August,Sunday,0
August,Sunday,0
September,Monday,12
September,Monday,12
September,Monday,8
September,Monday,12
September,Tuesday,4
September,Tuesday,5
September,Tuesday,9
September,Tuesday,9
September,Wednesday,5
September,Wednesday,5
September,Wednesday,12
September,Wednesday,12
September,Thursday,2
September,Thursday,2
September,Thursday,16
September,Thursday,16
September,Friday,3
September,Friday,3
September,Friday,6
September,Friday,6
September,Saturday,3
September,Saturday,3
September,Saturday,5
September,Saturday,5
September,Sunday,0
September,Sunday,0
September,Sunday,0
September,Sunday,0
October,Monday,20
October,Monday,10
October,Monday,20
October,Monday,20
October,Tuesday,6
October,Tuesday,10
October,Tuesday,10
October,Tuesday,10
October,Wednesday,8
October,Wednesday,15
October,Wednesday,15
October,Wednesday,15
October,Thursday,5
October,Thursday,12
October,Thursday,12
October,Thursday,12
October,Friday,3
October,Friday,12
October,Friday,12
October,Friday,12
October,Saturday,3
October,Saturday,5
October,Saturday,5
October,Saturday,5
October,Sunday,0
October,Sunday,0
October,Sunday,0
October,Sunday,0
November,Monday,20
November,Monday,10
November,Monday,20
November,Monday,20
November,Tuesday,6
November,Tuesday,10
November,Tuesday,10
November,Tuesday,10
November,Wednesday,8
November,Wednesday,15
November,Wednesday,15
November,Wednesday,15
November,Thursday,5
November,Thursday,12
November,Thursday,12
November,Thursday,12
November,Friday,3
November,Friday,12
November,Friday,12
November,Friday,12
November,Saturday,3
November,Saturday,5
November,Saturday,5
November,Saturday,5
November,Sunday,0
November,Sunday,0
November,Sunday,0
November,Sunday,0
December,Monday,20
December,Monday,10
December,Monday,20
December,Monday,20
December,Tuesday,6
December,Tuesday,10
December,Tuesday,10
December,Tuesday,10
December,Wednesday,8
December,Wednesday,15
December,Wednesday,15
December,Wednesday,15
December,Thursday,5
December,Thursday,12
December,Thursday,12
December,Thursday,12
December,Friday,3
December,Friday,12
December,Friday,12
December,Friday,12
December,Saturday,3
December,Saturday,5
December,Saturday,5
December,Saturday,5
December,Sunday,0
December,Sunday,0
December,Sunday,0
December,Sunday,0
